Time,4518-PE,4518-NoPe,4520-PE,4520-NoPe,4524-PE,4524-NoPe,4529-PE,4529-NoPe,4537-PE,4537-NoPe,4538-PE,4538-NoPe,4518-PE,4518-NoPe,4545-PE,4545-NoPe,4548-PE,4548-NoPe,4553-PE,4553-NoPe,Sigma-PE,Sigma-NoPe,FYDip-PE,FYDip-NoPe
4:30:00,0.3446666667,0.518,0.18,0.1883333333,0.2196666667,0.2696666667,0.3293333333,0.521,0.161,0.1823333333,0.446,0.4456666667,0.363,0.488,0.2876666667,0.2933333333,0.2816666667,0.3903333333,0.328,0.5786666667,0.1526666667,0.2383333333,0.265,0.271
4:45:00,0.3823333333,0.564,0.191,0.2006666667,0.2343333333,0.2886666667,0.3553333333,0.5553333333,0.1696666667,0.196,0.4913333333,0.472,0.39,0.5176666667,0.3083333333,0.3126666667,0.306,0.4233333333,0.352,0.613,0.1603333333,0.2606666667,0.2926666667,0.3003333333
5:00:00,0.426,0.6116666667,0.2036666667,0.216,0.2496666667,0.31,0.3853333333,0.5966666667,0.181,0.21,0.5326666667,0.495,0.4266666667,0.552,0.3276666667,0.3323333333,0.3326666667,0.453,0.378,0.6516666667,0.169,0.2863333333,0.3263333333,0.332
5:15:00,0.4786666667,0.6563333333,0.2176666667,0.2333333333,0.2673333333,0.332,0.417,0.6356666667,0.196,0.2303333333,0.5613333333,0.5206666667,0.4603333333,0.584,0.353,0.351,0.361,0.4863333333,0.402,0.688,0.1803333333,0.309,0.358,0.3693333333
5:30:00,0.5283333333,0.7043333333,0.2343333333,0.251,0.284,0.3543333333,0.458,0.673,0.2086666667,0.2513333333,0.5993333333,0.5603333333,0.494,0.6173333333,0.375,0.3743333333,0.388,0.518,0.428,0.7183333333,0.1926666667,0.3326666667,0.3986666667,0.411
5:45:00,0.5836666667,0.7566666667,0.251,0.2723333333,0.3033333333,0.3796666667,0.4846666667,0.7073333333,0.2283333333,0.273,0.6273333333,0.6103333333,0.5256666667,0.651,0.4043333333,0.3953333333,0.4166666667,0.549,0.4603333333,0.757,0.2073333333,0.3663333333,0.441,0.4576666667
6:00:00,0.641,0.813,0.271,0.295,0.323,0.4003333333,0.5136666667,0.7376666667,0.2486666667,0.302,0.6706666667,0.657,0.5636666667,0.681,0.4273333333,0.418,0.4456666667,0.5763333333,0.4873333333,0.7953333333,0.224,0.3923333333,0.4896666667,0.5056666667
6:15:00,0.707,0.8666666667,0.293,0.3206666667,0.3456666667,0.426,0.5433333333,0.7663333333,0.2706666667,0.3306666667,0.7136666667,0.7043333333,0.5903333333,0.7123333333,0.4556666667,0.4376666667,0.474,0.606,0.519,0.8303333333,0.2456666667,0.422,0.5373333333,0.554
6:30:00,0.772,0.918,0.3156666667,0.35,0.3593333333,0.4493333333,0.5766666667,0.8003333333,0.2913333333,0.363,0.771,0.762,0.62,0.7406666667,0.484,0.4603333333,0.503,0.6306666667,0.5476666667,0.8683333333,0.2706666667,0.4573333333,0.5923333333,0.6116666667
6:45:00,0.845,0.9706666667,0.3413333333,0.379,0.3833333333,0.4713333333,0.604,0.8316666667,0.322,0.405,0.8146666667,0.814,0.6496666667,0.769,0.517,0.485,0.5276666667,0.6556666667,0.581,0.9016666667,0.298,0.4823333333,0.6503333333,0.6706666667
