Time,Sep-PE avg,Sep-NoPE avg,Jun-PE avg,Jun-NoPE avg,Sep-PE,Sep-NoPE,Jun-PE,Jun-NoPE
13:45:00,1.557,1.552333333,1.62,1.596666667,1.297333333,1.362,1.293,1.545666667
14:00:00,1.555,1.559,1.618333333,1.596,1.334666667,1.386666667,1.330333333,1.561666667
14:15:00,1.555666667,1.558666667,1.622,1.599333333,1.367,1.417666667,1.359,1.565
14:30:00,1.562,1.559333333,1.622333333,1.599,1.404333333,1.453666667,1.394,1.570666667
14:45:00,1.560333333,1.568666667,1.620666667,1.603666667,1.426,1.478333333,1.427,1.575
15:00:00,1.56,1.57,1.621666667,1.601333333,1.446333333,1.499,1.453,1.586666667
15:15:00,1.556,1.570666667,1.622333333,1.599333333,1.464,1.521333333,1.476333333,1.582333333
15:30:00,1.555,1.572666667,1.623,1.598333333,1.471333333,1.537666667,1.494333333,1.581666667
15:45:00,1.559,1.569333333,1.625333333,1.599333333,1.477666667,1.548,1.499666667,1.586333333
16:00:00,1.556666667,1.57,1.622,1.601333333,1.487,1.557666667,1.514666667,1.588333333
